Supplementary Table 5.  Genes annotated with “behavior” underneath each QTL (see “Candidate Gene Nomination” in Supplementary File 1).  ,,,,,,,,,,,,,,,
Gene Symbol,Chromosome,Gene Name,MGI ID,Start bp (GRCm39),End bp (GRCm39),Number of missense variants,Number of splice region variants,Number of inframe deletions,Number of inframe insertions,Number of nonsense mutations,Number of conserved element changes,Expressed in amygdala,Expressed in hippocampus,Expressed in prefrontal cortex,Interesting
Cdc20,4,cell division cycle 20,MGI:1859866,118290098,118294540,1,0,0,0,0,0,NO,YES,YES,YES
Cdc42,4,cell division cycle 42,MGI:106211,137047007,137085031,0,0,0,0,0,0,NO,YES,YES,NO
Cdca8,4,cell division cycle associated 8,MGI:1196274,124812258,124830710,0,0,0,0,0,0,NO,YES,YES,NO
Cdkn2a,4,cyclin dependent kinase inhibitor 2A,MGI:104738,89192710,89212856,1,0,0,0,0,0,YES,YES,NO,YES
Cdkn2c,4,cyclin dependent kinase inhibitor 2C,MGI:105388,109518073,109523953,0,0,0,0,0,0,YES,YES,YES,NO
Cer1,4,"cerberus 1, DAN family BMP antagonist",MGI:1201414,82799988,82803385,1,0,0,0,0,0,NO,NO,YES,YES
Cldn19,4,claudin 19,MGI:3033992,119112638,119119635,0,0,0,0,0,0,NO,YES,YES,NO
Cntfr,4,ciliary neurotrophic factor receptor,MGI:99605,41657498,41697089,0,0,0,0,0,1,YES,YES,YES,YES
Col16a1,4,"collagen, type XVI, alpha 1",MGI:1095396,129941633,129993070,0,0,0,0,0,0,NO,YES,YES,NO
Creb3,4,cAMP responsive element binding protein 3,MGI:99946,43562658,43567061,1,1,0,0,0,2,NO,YES,YES,YES
Cyp4b1,4,"cytochrome P450, family 4, subfamily b, polypeptide 1",MGI:103225,115481922,115504920,0,0,0,0,0,0,NO,YES,YES,NO
Cyp4x1,4,"cytochrome P450, family 4, subfamily x, polypeptide 1",MGI:1932403,114963520,114991276,0,0,0,0,0,0,NO,YES,YES,NO
Dab1,4,disabled 1,MGI:108554,103476556,104602041,1,0,0,0,0,142,YES,YES,YES,YES
Dcaf10,4,DDB1 and CUL4 associated factor 10,MGI:2140179,45342101,45379759,0,0,0,0,0,0,NO,YES,YES,NO
Dcaf12,4,DDB1 and CUL4 associated factor 12,MGI:1916220,41291300,41314889,0,0,0,0,0,0,NO,YES,YES,NO
Dhcr24,4,24-dehydrocholesterol reductase,MGI:1922004,106418235,106446310,0,0,0,0,0,0,YES,YES,YES,NO
Dhdds,4,dehydrodolichyl diphosphate synthase,MGI:1914672,133696339,133728229,0,0,0,0,0,1,NO,YES,YES,YES
Dlgap3,4,DLG associated protein 3,MGI:3039563,127062997,127130815,0,0,0,0,0,2,NO,YES,YES,YES
Dmbx1,4,diencephalon/mesencephalon homeobox 1,MGI:2153518,115772316,115797123,0,0,0,0,0,0,YES,YES,NO,NO
Dmrta1,4,doublesex and mab-3 related transcription factor like family A1,MGI:2653627,89576435,89583003,0,0,0,0,0,0,NO,NO,NO,NO
Dmrta2,4,doublesex and mab-3 related transcription factor like family A2,MGI:2653629,109835250,109840884,0,0,0,0,0,0,YES,YES,YES,NO
Dnai1,4,dynein axonemal intermediate chain 1,MGI:1916172,41569775,41638158,0,0,0,0,0,0,NO,YES,YES,NO
Dnaja1,4,DnaJ heat shock protein family (Hsp40) member A1,MGI:1270129,40722468,40734965,0,0,0,0,0,0,NO,YES,YES,NO
Dnajb5,4,DnaJ heat shock protein family (Hsp40) member B5,MGI:1930018,42949866,42959425,0,0,0,0,0,3,NO,YES,YES,YES
Dock7,4,dedicator of cytokinesis 7,MGI:1914549,98824908,99009152,0,0,0,0,0,0,YES,YES,YES,NO
E130114P18Rik,4,RIKEN cDNA E130114P18 gene,MGI:2442873,97456112,97472828,0,0,0,0,0,0,NO,YES,YES,NO
Ecpas,4,Ecm29 proteasome adaptor and scaffold,MGI:2140220,58798911,58912749,0,0,0,0,0,3,NO,YES,YES,YES
Edn2,4,endothelin 2,MGI:95284,120018403,120024557,0,0,0,0,0,0,NO,NO,NO,NO
Elavl4,4,ELAV like RNA binding protein 4,MGI:107427,110060919,110209106,0,1,0,0,0,33,YES,YES,YES,YES
Elp1,4,elongator complex protein 1,MGI:1914544,56749680,56802331,0,0,0,0,0,0,NO,YES,YES,NO
Enho,4,energy homeostasis associated,MGI:1916888,41638144,41640302,0,0,0,0,0,0,NO,YES,YES,NO
Epha10,4,Eph receptor A10,MGI:3586824,124775408,124811594,0,0,0,0,0,1,NO,YES,YES,YES
Ephb2,4,Eph receptor B2,MGI:99611,136374850,136563299,0,0,0,0,0,1,YES,YES,YES,YES
Eya3,4,EYA transcriptional coactivator and phosphatase 3,MGI:109339,132366303,132452076,1,0,0,0,0,0,NO,YES,YES,YES
Faah,4,fatty acid amide hydrolase,MGI:109609,115853865,115876034,0,0,0,0,0,0,NO,YES,YES,NO
Fabp3,4,"fatty acid binding protein 3, muscle and heart",MGI:95476,130202531,130209256,0,0,0,0,0,1,YES,YES,YES,YES
Faf1,4,Fas-associated factor 1,MGI:109419,109533785,109821157,0,0,0,0,0,4,NO,YES,YES,YES
Fbxo10,4,F-box protein 10,MGI:2686937,45034248,45084604,0,0,0,0,0,0,NO,YES,YES,NO
Fktn,4,fukutin,MGI:2179507,53713745,53765785,0,0,0,0,0,0,YES,YES,YES,NO
Fndc5,4,fibronectin type III domain containing 5,MGI:1917614,129030792,129038386,0,0,0,0,0,0,NO,YES,YES,NO
Focad,4,focadhesin,MGI:2676921,88012866,88329248,1,1,0,0,0,9,NO,YES,YES,YES
Foxe3,4,forkhead box E3,MGI:1353569,114782344,114783210,0,0,0,0,0,0,YES,YES,NO,NO
Foxj3,4,forkhead box J3,MGI:2443432,119396858,119486316,0,0,0,0,0,1,NO,YES,YES,YES
Foxo6,4,forkhead box O6,MGI:2676586,120124275,120144458,0,0,0,0,0,3,YES,YES,YES,YES
Frmd3,4,FERM domain containing 3,MGI:2442466,73931679,74120451,0,0,0,0,0,0,NO,YES,YES,NO
Frmpd1,4,FERM and PDZ domain containing 1,MGI:2446274,45184875,45285936,0,0,0,0,0,3,NO,YES,YES,YES
Frrs1l,4,ferric-chelate reductase 1 like,MGI:2442704,56960136,56990391,0,0,0,0,0,1,NO,YES,YES,YES
Fuca1,4,"fucosidase, alpha-L- 1, tissue",MGI:95593,135648037,135667611,0,0,0,0,0,0,YES,YES,YES,NO
Gabbr2,4,"gamma-aminobutyric acid (GABA) B receptor, 2",MGI:2386030,46662318,46991714,0,0,0,0,0,1,NO,YES,YES,YES
Galnt12,4,polypeptide N-acetylgalactosaminyltransferase 12,MGI:2444664,47091909,47123070,0,0,0,0,0,0,NO,YES,YES,NO
Gjb4,4,"gap junction protein, beta 4",MGI:95722,127244879,127247874,0,0,0,0,0,2,NO,NO,NO,NO
Gm12695,4,predicted gene 12695,MGI:3650206,96611884,96673423,0,0,0,0,0,0,NO,YES,NO,NO
Gpr3,4,G-protein coupled receptor 3,MGI:101908,132936651,132939847,0,0,0,0,0,0,YES,YES,YES,NO
Grhl3,4,grainyhead like transcription factor 3,MGI:2655333,135269199,135300941,0,1,0,0,0,6,NO,YES,YES,YES
Grin3a,4,"glutamate receptor ionotropic, NMDA3A",MGI:1933206,49661611,49845744,0,0,0,0,0,0,NO,YES,YES,NO
Hcrtr1,4,hypocretin (orexin) receptor 1,MGI:2385650,130024010,130033152,0,0,0,0,0,0,NO,YES,YES,NO
Hdac1,4,histone deacetylase 1,MGI:108086,129409897,129436439,0,0,0,0,0,2,YES,YES,YES,YES
Hectd3,4,HECT domain E3 ubiquitin protein ligase 3,MGI:1923858,116852514,116862474,0,0,0,0,0,4,NO,YES,YES,YES
Hmgcl,4,3-hydroxy-3-methylglutaryl-Coenzyme A lyase,MGI:96158,135673759,135689928,0,0,0,0,0,1,NO,YES,YES,YES
Hpca,4,hippocalcin,MGI:1336200,129005363,129015829,0,0,0,0,0,1,NO,YES,YES,YES
Hpdl,4,4-hydroxyphenylpyruvate dioxygenase-like,MGI:2444646,116677104,116678705,0,0,0,0,0,0,NO,YES,YES,NO
Hspb11,4,"heat shock protein family B (small), member 11",MGI:1920188,107110889,107137135,0,0,0,0,0,7,NO,YES,YES,YES
Hspg2,4,perlecan (heparan sulfate proteoglycan 2),MGI:96257,137196080,137297941,1,2,0,0,0,20,NO,YES,YES,YES
Htr6,4,5-hydroxytryptamine (serotonin) receptor 6,MGI:1196627,138788419,138802881,0,0,0,0,0,1,NO,YES,YES,YES
Id3,4,inhibitor of DNA binding 3,MGI:96398,135871133,135872703,0,0,0,0,0,0,NO,YES,YES,NO
Ifna1,4,interferon alpha 1,MGI:107668,88768324,88768893,2,0,0,0,0,0,NO,NO,NO,NO
Ift74,4,intraflagellar transport 74,MGI:1914944,94502728,94581466,0,0,0,0,0,1,NO,YES,YES,YES
Ipp,4,IAP promoted placental gene,MGI:96581,116364746,116395440,0,0,0,0,0,1,NO,YES,YES,YES
Jak1,4,Janus kinase 1,MGI:96628,101009564,101122479,1,0,0,0,0,4,NO,YES,YES,YES
Jun,4,jun proto-oncogene,MGI:96646,94937273,94940459,0,0,0,0,0,0,YES,YES,YES,NO
Kdm1a,4,lysine (K)-specific demethylase 1A,MGI:1196256,136277851,136330034,0,0,0,0,0,3,NO,YES,YES,YES
Khdrbs1,4,"KH domain containing, RNA binding, signal transduction associated 1",MGI:893579,129596957,129636096,0,0,0,0,0,1,NO,YES,YES,YES
Kif17,4,kinesin family member 17,MGI:1098229,137989562,138029284,0,0,0,0,0,2,YES,YES,YES,YES
Kif2c,4,kinesin family member 2C,MGI:1921054,117016830,117039821,0,0,0,0,0,0,NO,YES,NO,NO
Klf4,4,Kruppel-like factor 4 (gut),MGI:1342287,55527143,55532466,0,0,0,0,0,0,NO,YES,YES,NO
Klhl9,4,kelch-like 9,MGI:2180122,88636529,88640702,0,0,0,0,0,1,NO,YES,YES,YES
Lepr,4,leptin receptor,MGI:104993,101574601,101672549,0,0,0,0,0,0,YES,YES,YES,NO
Leprot,4,leptin receptor overlapping transcript,MGI:2687005,101504980,101516561,0,1,0,0,0,2,NO,YES,YES,YES
Lin28a,4,lin-28 homolog A,MGI:1890546,133730641,133746152,0,0,0,0,0,0,NO,YES,NO,NO
Lpar1,4,lysophosphatidic acid receptor 1,MGI:108429,58435255,58553898,0,0,0,0,0,2,YES,YES,YES,YES
Lrp8,4,"low density lipoprotein receptor-related protein 8, apolipoprotein e receptor",MGI:1340044,107659337,107734037,0,0,0,0,0,14,NO,YES,YES,YES
Lrrc41,4,leucine rich repeat containing 41,MGI:2441984,115932466,115954240,0,0,0,0,0,0,NO,YES,YES,NO
Lurap1,4,leucine rich adaptor protein 1,MGI:1915325,115993925,116001813,0,0,0,0,0,0,NO,YES,YES,NO
Map7d1,4,MAP7 domain containing 1,MGI:2384297,126125960,126150112,0,0,0,0,0,0,NO,YES,YES,NO
Med18,4,mediator complex subunit 18,MGI:1914469,132186042,132191232,0,0,0,0,0,0,NO,YES,YES,NO
Mier1,4,MEIR1 treanscription regulator,MGI:1918398,102971587,103022951,0,0,0,0,0,0,NO,YES,YES,NO
Mllt3,4,"myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3",MGI:1917372,87688162,87951601,0,0,0,0,0,29,NO,YES,YES,YES
Mpdz,4,multiple PDZ domain crumbs cell polarity complex component,MGI:1343489,81196737,81361052,8,0,0,0,0,27,YES,YES,YES,YES
Musk,4,"muscle, skeletal, receptor tyrosine kinase",MGI:103581,58285960,58374303,0,0,0,0,0,1,NO,YES,YES,YES
Mysm1,4,"myb-like, SWIRM and MPN domains 1",MGI:2444584,94830277,94867337,0,0,0,0,0,0,NO,YES,YES,NO
Nbl1,4,"NBL1, DAN family BMP antagonist",MGI:104591,138809595,138820304,0,0,0,0,0,0,NO,YES,YES,NO
Ncdn,4,neurochondrin,MGI:1347351,126637543,126647231,0,0,0,0,0,1,NO,YES,YES,YES
Nfia,4,nuclear factor I/A,MGI:108056,97660971,98007111,0,0,0,0,0,29,YES,YES,YES,YES
Nipal3,4,NIPA-like domain containing 3,MGI:1921802,135173454,135222283,0,0,0,0,0,0,NO,YES,YES,NO
Npr2,4,natriuretic peptide receptor 2,MGI:97372,43631935,43651244,0,0,0,0,0,1,YES,YES,YES,YES
Nr4a3,4,"nuclear receptor subfamily 4, group A, member 3",MGI:1352457,48045153,48086447,0,0,0,0,0,2,NO,YES,YES,YES
Nrd1,4,"nardilysin, N-arginine dibasic convertase, NRD convertase 1",MGI:1201386,108857852,108918974,0,0,0,0,0,1,NO,YES,YES,YES
Oprd1,4,"opioid receptor, delta 1",MGI:97438,131838037,131871797,0,0,0,0,0,12,NO,YES,YES,YES
Orc1,4,"origin recognition complex, subunit 1",MGI:1328337,108436651,108472030,0,0,0,0,0,3,NO,YES,YES,YES
Orm1,4,orosomucoid 1,MGI:97443,63262797,63266400,0,0,0,0,0,0,NO,NO,NO,NO
Otud3,4,OTU domain containing 3,MGI:1920412,138622690,138641256,1,0,0,0,0,4,NO,YES,YES,YES
P3h1,4,prolyl 3-hydroxylase 1,MGI:1888921,119090112,119106172,0,0,0,0,0,0,NO,YES,YES,NO
Pax5,4,paired box 5,MGI:97489,44524757,44710487,0,0,0,0,0,49,NO,NO,NO,NO
Pde4b,4,"phosphodiesterase 4B, cAMP specific",MGI:99557,101944740,102464456,0,1,0,0,0,26,YES,YES,YES,YES
Pgm1,4,phosphoglucomutase 1,MGI:97565,99786648,99844491,0,0,0,0,0,5,NO,YES,YES,YES
Pink1,4,PTEN induced putative kinase 1,MGI:1916193,138040720,138053618,1,2,0,0,0,5,YES,YES,YES,YES
Pla2g2d,4,"phospholipase A2, group IID",MGI:1341796,138503046,138509357,0,0,0,0,0,0,NO,YES,YES,NO
Plaa,4,"phospholipase A2, activating protein",MGI:104810,94455751,94491481,1,0,0,0,0,5,NO,YES,YES,YES
Plin2,4,perilipin 2,MGI:87920,86566623,86588297,0,0,0,0,0,0,NO,YES,YES,NO
Pnrc2,4,proline-rich nuclear receptor coactivator 2,MGI:106512,135598229,135601157,0,0,0,0,0,0,NO,YES,YES,NO
Pole3,4,"polymerase (DNA directed), epsilon 3 (p17 subunit)",MGI:1933378,62442035,62443251,0,0,0,0,0,0,NO,YES,YES,NO
Polr1e,4,polymerase (RNA) I polypeptide E,MGI:1929022,45018609,45034279,0,0,0,0,0,1,NO,YES,YES,YES
Pomgnt1,4,"protein O-linked mannose beta 1,2-N-acetylglucosaminyltransferase",MGI:1915523,116007700,116017041,0,1,0,0,0,2,NO,YES,YES,YES
Pou3f1,4,"POU domain, class 3, transcription factor 1",MGI:101896,124551439,124554448,0,0,0,0,0,1,YES,YES,YES,YES
Prkaa2,4,"protein kinase, AMP-activated, alpha 2 catalytic subunit",MGI:1336173,104887071,104967087,0,1,0,0,0,6,NO,YES,YES,YES
Psip1,4,PC4 and SFRS1 interacting protein 1,MGI:2142116,83373917,83404696,0,0,0,0,0,1,NO,YES,YES,YES
Ptp4a2,4,protein tyrosine phosphatase 4a2,MGI:1277117,129714262,129743796,0,0,0,0,0,0,NO,YES,YES,NO
Ptprd,4,"protein tyrosine phosphatase, receptor type, D",MGI:97812,75859475,78130198,0,1,0,0,0,32,YES,YES,YES,YES
Ptprf,4,"protein tyrosine phosphatase, receptor type, F",MGI:102695,118065410,118148602,0,0,0,0,0,4,NO,YES,YES,YES
Ptpru,4,"protein tyrosine phosphatase, receptor type, U",MGI:1321151,131495768,131565599,0,0,0,0,0,6,YES,YES,YES,YES
Rad23b,4,"RAD23 homolog B, nucleotide excision repair protein",MGI:105128,55350043,55392237,0,0,0,0,0,0,NO,YES,YES,NO
Raver2,4,"ribonucleoprotein, PTB-binding 2",MGI:2443623,100926235,101009567,0,0,0,0,0,1,NO,YES,YES,YES
Rgp1,4,RAB6A GEF compex partner 1,MGI:1915956,43578735,43587487,0,0,0,0,0,2,NO,YES,YES,YES
Rnf19b,4,ring finger protein 19B,MGI:1922484,128951871,128978319,0,0,0,0,0,2,NO,YES,YES,YES
Rnf20,4,ring finger protein 20,MGI:1925927,49632006,49656887,0,0,0,0,0,0,NO,YES,YES,NO
Rnf220,4,ring finger protein 220,MGI:1913993,117128660,117354249,0,0,0,0,0,19,NO,YES,YES,YES
Rnf38,4,ring finger protein 38,MGI:1920719,44126210,44233789,0,0,0,0,0,1,NO,YES,YES,YES
Rps6ka1,4,ribosomal protein S6 kinase polypeptide 1,MGI:104558,133574601,133615108,0,0,0,0,0,0,YES,YES,YES,NO
Rspo1,4,R-spondin 1,MGI:2183426,124880223,124902892,0,0,0,0,0,1,NO,YES,YES,YES
Runx3,4,runt related transcription factor 3,MGI:102672,134847963,134905301,0,0,0,0,0,1,NO,NO,NO,NO
Saxo1,4,stabilizer of axonemal microtubules 1,MGI:1923061,86362878,86476565,0,0,0,0,0,6,NO,NO,NO,NO
Scp2,4,"sterol carrier protein 2, liver",MGI:98254,107901027,108002168,0,0,0,0,0,0,NO,YES,YES,NO
Sdc3,4,syndecan 3,MGI:1349163,130519848,130553629,1,0,0,0,0,0,NO,YES,YES,YES
Sec61b,4,Sec61 beta subunit,MGI:1913462,47474661,47483233,0,0,0,0,0,0,NO,YES,YES,NO
Selenon,4,selenoprotein N,MGI:2151208,134265203,134279477,0,0,0,0,0,0,NO,YES,YES,NO
Serinc2,4,serine incorporator 2,MGI:1919132,130147289,130172993,0,0,0,0,0,1,NO,YES,YES,YES
Sfpq,4,splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated),MGI:1918764,126915117,126930806,0,0,0,0,0,1,NO,YES,YES,YES
Sgip1,4,SH3-domain GRB2-like (endophilin) interacting protein 1,MGI:1920344,102616351,102834623,0,0,0,0,0,12,NO,YES,YES,YES
Sh3gl2,4,SH3-domain GRB2-like 2,MGI:700009,85123340,85307617,0,0,0,0,0,19,NO,YES,YES,YES
Sigmar1,4,sigma non-opioid intracellular receptor 1,MGI:1195268,41738493,41741359,0,0,0,0,0,0,NO,YES,YES,NO
Slc24a2,4,"solute carrier family 24 (sodium/potassium/calcium exchanger), member 2",MGI:1923626,86901361,87148714,0,0,0,0,0,16,NO,YES,YES,YES
Slc2a1,4,"solute carrier family 2 (facilitated glucose transporter), member 1",MGI:95755,118965942,118994527,0,0,0,0,0,0,NO,YES,YES,NO
Slc31a1,4,"solute carrier family 31, member 1",MGI:1333843,62278964,62310006,0,0,0,0,0,0,YES,YES,YES,NO
Slc44a1,4,"solute carrier family 44, member 1",MGI:2140592,53440413,53622478,0,0,0,0,0,4,NO,YES,YES,YES
Slc6a9,4,"solute carrier family 6 (neurotransmitter transporter, glycine), member 9",MGI:95760,117692240,117726502,0,0,0,0,0,11,YES,YES,YES,YES
Slc9a1,4,"solute carrier family 9 (sodium/hydrogen exchanger), member 1",MGI:102462,133097022,133151013,0,0,0,0,0,0,NO,YES,YES,NO
Smpdl3b,4,"sphingomyelin phosphodiesterase, acid-like 3B",MGI:1916022,132460277,132484558,0,0,0,0,0,0,NO,YES,YES,NO
Snip1,4,Smad nuclear interacting protein 1,MGI:2156003,124960465,124967835,0,0,0,0,0,0,NO,YES,YES,NO
Svbp,4,small vasohibin binding protein,MGI:1916466,119052507,119058495,0,0,0,0,0,0,NO,YES,YES,NO
Svep1,4,"sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1",MGI:1928849,58042796,58206596,1,0,0,0,0,2,NO,YES,NO,YES
Sytl1,4,synaptotagmin-like 1,MGI:1933365,132980401,132990398,0,0,0,0,0,0,NO,YES,YES,NO
Szt2,4,SZT2 subunit of KICSTOR complex,MGI:3033336,118219940,118266470,3,3,0,0,0,17,NO,YES,YES,YES
Tal1,4,T cell acute lymphocytic leukemia 1,MGI:98480,114913623,114928952,0,0,0,0,0,0,NO,YES,YES,NO
Tal2,4,T cell acute lymphocytic leukemia 2,MGI:99540,53779705,53788712,0,0,0,0,0,0,NO,YES,NO,NO
Tlr4,4,toll-like receptor 4,MGI:96824,66745788,66765338,0,0,0,0,0,0,NO,YES,YES,NO
Tmem222,4,transmembrane protein 222,MGI:1098568,132993356,133005101,0,0,0,0,0,0,NO,YES,YES,NO
Tmem59,4,transmembrane protein 59,MGI:1929278,107035827,107058193,0,0,0,0,0,2,NO,YES,YES,YES
Tnc,4,tenascin C,MGI:101922,63878022,63965252,0,1,0,0,0,1,YES,YES,YES,YES
Toe1,4,"target of EGR1, member 1 (nuclear)",MGI:1915526,116661200,116664787,3,0,0,0,0,6,NO,YES,YES,YES
Trabd2b,4,TraB domain containing 2B,MGI:3650152,114263921,114472295,0,0,0,0,0,19,NO,YES,YES,YES
Trim14,4,tripartite motif-containing 14,MGI:1921985,46505072,46536148,0,0,0,0,0,0,NO,YES,NO,NO
Trim32,4,tripartite motif-containing 32,MGI:1917057,65523223,65534475,0,0,0,0,0,0,NO,YES,YES,NO
Trmo,4,tRNA methyltransferase O,MGI:1922003,46376505,46389437,0,0,0,0,0,0,NO,YES,YES,NO
Trmt10b,4,tRNA methyltransferase 10B,MGI:1917184,45297127,45316131,0,0,0,0,0,0,NO,YES,YES,NO
Trnau1ap,4,tRNA selenocysteine 1 associated protein 1,MGI:1919037,132039074,132056849,0,0,0,0,0,0,NO,YES,YES,NO
Txlna,4,taxilin alpha,MGI:105968,129519871,129534858,0,0,0,0,0,0,NO,YES,YES,NO
Tyrp1,4,tyrosinase-related protein 1,MGI:98881,80752360,80769956,0,2,0,0,0,5,NO,YES,NO,YES
Ubap2,4,ubiquitin-associated protein 2,MGI:1916176,41194313,41275144,0,0,0,0,0,0,NO,YES,YES,NO
Ugcg,4,UDP-glucose ceramide glucosyltransferase,MGI:1332243,59189452,59222833,0,0,0,0,0,1,NO,YES,YES,YES
Unc13b,4,unc-13 homolog B,MGI:1342278,43058953,43264871,0,0,0,0,0,4,YES,YES,YES,YES
Vcp,4,valosin containing protein,MGI:99919,42979964,43000507,0,1,0,0,0,22,NO,YES,YES,YES
Wasf2,4,"WASP family, member 2",MGI:1098641,132857843,132927059,0,0,0,0,0,7,NO,YES,YES,YES
Whrn,4,whirlin,MGI:2682003,63333147,63414228,0,0,0,0,0,0,NO,YES,YES,NO
Wnt4,4,"wingless-type MMTV integration site family, member 4",MGI:98957,137004946,137026812,0,0,0,0,0,1,NO,YES,YES,YES
Yipf1,4,"Yip1 domain family, member 1",MGI:1915532,107171560,107217020,0,0,0,0,0,2,NO,YES,YES,YES
Zbtb5,4,zinc finger and BTB domain containing 5,MGI:1924601,44991242,45012412,0,0,0,0,0,0,NO,YES,YES,NO
Zfp462,4,zinc finger protein 462,MGI:107690,54945048,55083563,0,0,0,0,0,5,NO,YES,YES,YES
Zyg11b,4,"zyg-ll family member B, cell cycle regulator",MGI:2685277,108086921,108158293,0,0,0,0,0,0,NO,YES,YES,NO
1700069L16Rik,5,RIKEN cDNA 1700069L16 gene,MGI:1920726,113830485,113862833,0,0,0,0,0,0,NO,NO,NO,NO
Aacs,5,acetoacetyl-CoA synthetase,MGI:1926144,125552937,125594469,0,0,0,0,0,0,YES,YES,YES,NO
Abcb9,5,"ATP-binding cassette, sub-family B (MDR/TAP), member 9",MGI:1861729,124199920,124234009,0,0,0,0,0,0,NO,YES,YES,NO
Ablim2,5,actin-binding LIM protein 2,MGI:2385758,35915224,36042317,0,0,0,0,0,0,NO,YES,YES,NO
Acacb,5,acetyl-Coenzyme A carboxylase beta,MGI:2140940,114284596,114388822,0,0,0,0,0,0,NO,YES,YES,NO
Acads,5,"acyl-Coenzyme A dehydrogenase, short chain",MGI:87868,115248358,115257405,0,0,0,0,0,0,NO,YES,YES,NO
Actr3b,5,ARP3 actin-related protein 3B,MGI:2661120,25964995,26055686,0,0,0,0,0,2,NO,YES,YES,YES
Adgrl3,5,adhesion G protein-coupled receptor L3,MGI:2441950,81167985,81972980,0,0,0,0,0,3,NO,YES,YES,YES
Adra2c,5,"adrenergic receptor, alpha 2c",MGI:87936,35435910,35439107,0,0,0,0,0,0,YES,YES,YES,NO
Afap1,5,actin filament associated protein 1,MGI:1917542,36050663,36161267,0,0,0,0,0,1,NO,YES,YES,YES
Aff1,5,"AF4/FMR2 family, member 1",MGI:1100819,103840256,104003188,0,0,0,0,0,7,NO,YES,YES,YES
Afm,5,afamin,MGI:2429409,90666808,90701403,0,0,0,0,0,0,NO,NO,NO,NO
Afp,5,alpha fetoprotein,MGI:87951,90638596,90656766,0,1,0,0,0,1,NO,NO,NO,NO
Agap3,5,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 3",MGI:2183446,24657175,24707045,0,0,0,0,0,3,NO,YES,YES,YES
Aldh2,5,"aldehyde dehydrogenase 2, mitochondrial",MGI:99600,121704090,121731887,0,0,0,0,0,0,YES,YES,YES,NO
Anapc7,5,anaphase promoting complex subunit 7,MGI:1929711,122559756,122582975,0,0,0,0,0,0,NO,YES,YES,NO
Areg,5,amphiregulin,MGI:88068,91287458,91296291,0,0,0,0,0,0,NO,YES,YES,NO
Arhgap24,5,Rho GTPase activating protein 24,MGI:1922647,102629257,103045803,0,0,0,0,0,6,NO,YES,YES,YES
Arpc3,5,"actin related protein 2/3 complex, subunit 3",MGI:1928375,122529941,122544244,0,0,0,0,0,0,NO,YES,YES,NO
Asic3,5,acid-sensing (proton-gated) ion channel 3,MGI:2159339,24618449,24622836,0,0,0,0,0,0,NO,YES,YES,NO
Asl,5,argininosuccinate lyase,MGI:88084,130040099,130053222,1,3,0,0,0,9,YES,YES,YES,YES
Atp2a2,5,"ATPase, Ca++ transporting, cardiac muscle, slow twitch 2",MGI:88110,122591576,122640288,0,0,0,0,0,0,NO,YES,YES,NO
Atxn2,5,ataxin 2,MGI:1277223,121849672,121954372,0,0,0,0,0,0,NO,YES,YES,NO
Babam2,5,BRISC and BRCA1 A complex member 2,MGI:1333875,31855394,32242083,0,0,0,0,0,20,YES,YES,YES,YES
Barhl2,5,BarH like homeobox 2,MGI:1859314,106600389,106606032,0,0,0,0,0,5,NO,YES,NO,YES
Bcl7a,5,B cell CLL/lymphoma 7A,MGI:1924295,123482511,123512146,0,0,0,0,0,0,NO,YES,YES,NO
Bicdl1,5,BICD family like cargo adaptor 1,MGI:1922915,115786234,115869680,0,0,0,0,0,0,NO,YES,YES,NO
Bloc1s4,5,"biogenesis of lysosomal organelles complex-1, subunit 4, cappuccino",MGI:1929230,36904722,36905994,0,0,0,0,0,0,NO,YES,YES,NO
Brap,5,BRCA1 associated protein,MGI:1919649,121798626,121825312,0,0,0,0,0,0,YES,YES,YES,NO
Cad,5,"carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase",MGI:1916969,31212124,31235823,0,0,0,0,0,0,NO,YES,YES,NO
Camkk2,5,"calcium/calmodulin-dependent protein kinase kinase 2, beta",MGI:2444812,122869233,122917472,0,0,0,0,0,0,NO,YES,YES,NO
Cc2d2a,5,coiled-coil and C2 domain containing 2A,MGI:1924487,43819715,43898317,3,2,0,0,0,16,NO,YES,YES,YES
Ccdc92,5,coiled-coil domain containing 92,MGI:106485,124911482,124939488,0,0,0,0,0,3,NO,YES,YES,YES
Cckar,5,cholecystokinin A receptor,MGI:99478,53855827,53865046,0,0,0,0,0,0,YES,YES,NO,NO
Cdk5,5,cyclin-dependent kinase 5,MGI:101765,24623239,24628528,0,0,0,0,0,0,YES,YES,YES,NO
Cep135,5,centrosomal protein 135,MGI:2681869,76736545,76794313,0,0,0,0,0,0,NO,YES,YES,NO
Cgref1,5,cell growth regulator with EF hand domain 1,MGI:1915817,31090487,31102824,0,0,0,0,0,0,NO,YES,YES,NO
Chchd2,5,coiled-coil-helix-coiled-coil-helix domain containing 2,MGI:1261428,129910002,129916311,0,0,0,0,0,1,NO,YES,YES,YES
Cit,5,citron,MGI:105313,115983337,116147006,0,0,0,0,0,1,YES,YES,YES,YES
